partition_name,attribute,value
documents_partition,title,Path Analysis of Climate and Tourism to the Economic Growth in the Philippines
documents_partition,title,The Worldâ€™s Leader in the Palm Oil Industry : Indonesia
documents_partition,title,A Simulation Model on Determining the Patrons of a Business in the Era of Green Movement
documents_partition,title,Fractal Analysis of Global Fresh Water Use
documents_partition,title,Algebraic Method for Solving System of Linear Congruences
documents_partition,title,Disrupting Education: Which between technological innovations and the â€˜incredulity towards metanarrativesâ€™ is disrupting education?
documents_partition,title,Evolutionary Models for the Interaction of the Higher Education Labor Force and Higher Education Market
documents_partition,title,Responding to the Challenges Of Employment Through Graduate Attributes
documents_partition,title,Tourism and Hospitality Management Students undergoing US Work and Travel Program: A Phenomenological Inquiry
documents_partition,title,Insights of Conflict Management Strategies from the Perspectives of Selected Philosophers
documents_partition,title,Considering Knowledge in Integration: Evidence from the ASEAN Member Nations
documents_partition,title,Simulation Model for the Maintenance of Government and Private Facilities in the Philippine Context
documents_partition,title,Effectivity of Malunggay (Moringa oleifera) Seeds Oil Extract Topical Application as Adjunct Therapy for Arthritic Pain
documents_partition,title,Potency of Medicinal Leaves in the Growth Performance of Broiler Chicks
documents_partition,title,An Application of Student Self- Assessment and Newman Error Analysis in Solving Math Problems
documents_partition,title,Theory of Adaptation of Educators Teaching Technology-Based Courses
documents_partition,title,Development and Validation of E-SelfIMo: E-Learning Self-Directed Interactive Module in Earth Science
documents_partition,title,Applying Stakeholder and Self-Efficacy Theories to Classify Organizational Citizenship Behavior Antecedents
documents_partition,title,Sustainable Banking Business Model for Rural Banks in the Philippines
documents_partition,title,Mental Health in Academe Amidst COVID-19 Pandemic: What Can We Learn from the Philippines and Latvia?
documents_partition,title,Bio-efficacy of Trichoderma harzianum Rifai and Botanical Extracts against Major Fungal Pathogens of Tamarind (Tamarindus indica L.) under Field Condition
documents_partition,title,Comprehensive Study of Industry 4.0 in Robotics for Policy Development
documents_partition,title,School – Parental Engagement of Filipino Women Married to Koreans: Inputs for Policy Formulation
documents_partition,title,Impact of Perceptions apropos Economic Growth
documents_partition,title,Non-Random Walk Behavior of Philippine Stock Prices
documents_partition,title,Resolving Ethical Dilemmas of Human Resource Management In The Academe: A Decision-Making Process Model
documents_partition,title,The Duplicitous Character of Bilingual Education Policy
documents_partition,title,ASEAN Integration: The Domination and Subordination among Member Nations
documents_partition,title,Morality and Religiosity: A Filipino Experience
documents_partition,title,Effectiveness of Custard Apple (Annona squamosa) Seed Extract in Treating Pediculosis Capitis
documents_partition,title,"Antibacterial, Histochemical and Phytochemical Screening and Cytotoxicity Activity of Tubog, Ficus nota (Blanco) Merr Leaf and Fruit Extracts"
documents_partition,title,Levels of Multidrug-Resistant Tuberculosis Treatment Success among ASEAN Countries
documents_partition,title,Predictors of Subjective Wellbeing Among Elderly
documents_partition,title,Moral Culture in Kantâ€™s On Education (1803): Implications and Antitheses
documents_partition,title,Mother- Tongue Based Multilingual Education Certificate Program vis- a- vis Pupilsâ€™Academic Performance in Public Elementary Schools in Cebu
documents_partition,title,A Predictive Model on the Spread of HIV in Cebu City
documents_partition,title,Improved Integrated Crop Management System of Mungbean (Vigna radiata Linn) Production in Central Luzon
documents_partition,title,Enhancing the Growth and Yield of Lettuce (Lactuca sativa L.) in Hydroponic System Using Magnetized Irrigation Water
documents_partition,title,Rainforestation and Sustainable Development: From the Lens of the Four Individual Adopters from the Visayas Region in the Philippines
documents_partition,title,Catholic Identity and Spiritual Well-Being of Students in a Philippine Catholic University
documents_partition,title,Teachersâ€™ Well-Being Through Work Engagement among Montfortian Schools in Asia
documents_partition,title,The Caring Self: The Older Adult Care Providersâ€™ Experiences
documents_partition,title,Top Stressors among Filipino Undergraduate Students: A Multicenter - Interdisciplinary Study
documents_partition,title,Integration of Specular Reflector in a Dual Axis Solar Tracker
documents_partition,title,Social Media Character Assessment for Talent Selection using Natural Language Processing
documents_partition,title,Discursive Strategies in Negotiating Power: The Case of a Female Radio Show Host
documents_partition,title,Teaching Indigenous Peace Concepts from Visayan Fisherfolks and Farmers through the Course Philosophy of the Human Person
documents_partition,title,Moral Life in Socratesâ€™ Ethical Intellectualism
documents_partition,title,The Quality of Recoletos Education in Negros Island in the Realm of Philippine Catholic School Standards
documents_partition,title,An Investigation on the Intralocality Differences in Health and Safety Implementation of Construction Industries
documents_partition,title,Development and Performance Evaluation of an Indirect Heat Copra Dryer with Phase Changer A Comparison with Kiln Drying and Open
documents_partition,title,Sun Drying of Copra
documents_partition,title,Assessing Applicant Employability Using Social Media for Talent Acquisition and Recruitment in IT/BPM Companies
documents_partition,title,Toxicity Evaluation and Anthelminthic Property of Cebu Cinnamon (Cinnamomum cebuense Kosterm.) Leaf Extracts
documents_partition,title,Understanding Sex Differences in Depressive Symptomatology Among Malaysian Adolescents
documents_partition,title,Disentangling the Rubrico and Dolalas Hypotheses on the Davao Filipino Language
documents_partition,title,Evaluating Philippine Studentsâ€™ Class Participation with a Token Currency System
documents_partition,title,Economic Decision across Regions of the Philippines
documents_partition,title,"Solid Waste Management Awareness, Attitude, and Practices in a Philippine Catholic Higher Education Institution"
documents_partition,title,The Future of Nietzscheâ€™s Perspectivism as Political Consensus
documents_partition,title,Feynman Technique as a Heutagogical Learning Strategy for Independent and Remote Learning
documents_partition,title,"Green Chemistry Education among Senior High School Chemistry Teachers: Knowledge, Perceptions, and Level of Integration"
documents_partition,title,Macro and Micro Context Factors in English Language Learning in Modular Distance Learning
documents_partition,title,Visayan Philosophy of Labor: A Reflection from the Notion of Kahimtang and John Paul IIâ€™s Philosophy
documents_partition,title,Challenges and Opportunities in Philippine Tourism amid the COVID-19 Pandemic
documents_partition,title,Food Safety Compliance and Challenges of Micro Food Business Operators: Implications to COVID-19 Pandemic
documents_partition,title,"Human Resource Management: Pre-pandemic, Pandemic and Beyond"
documents_partition,title,On the Generators of the Group of Units Modulo a Prime and Its Analytic and Probabilistic Views
documents_partition,title,Approximate Analytic Solution to the Three Species Lotka â€“ Volterra Differential Equation Model
documents_partition,title,"Rice Machinery Requirement in La Union, Philippines: A Basis for Prioritizing Deployment"
documents_partition,title,"Angle Trisection, Bhaskaraâ€™s Proof, and Pythagorean Theorem"
documents_partition,title,A Computer Vision Application for Measuring the Deflection in a Two-dimensional View of Reinforced Concrete Beams
documents_partition,title,Performance Evaluation of a Rice Hull-fueled Cabinet Food Dryer
documents_partition,title,Utilization of Wastewater from Different Sources as Potential Electrical Energy Source
documents_partition,title,A Sound-based Machine Learning to Predict Traffic Vehicle Density
documents_partition,title,Uniform Minimum Variance Unbiased Estimator of Fractal Dimension
documents_partition,title,Sequential Pattern Mining of Tourist Spatiotemporal Movement
documents_partition,title,Remote Learning Readiness and Challenges: Perceptions and Experiences among Tertiary State University Management Students
documents_partition,title,Mortality Analysis of Early COVID-19 Cases in the Philippines Based on Observed Demographic and Clinical Characteristics
documents_partition,title,The Philippine K to 12 Junior Science Program in Thematic Instruction
documents_partition,title,The Market Distortion Effect of Government Intervention in Higher Education
documents_partition,title,Factors Affecting Teachers' Resiliency Amidst the COVID-19 Pandemic
documents_partition,title,Extended Technology Acceptance Model to Examine the Use of Google Forms â€“ based Lesson Playlist in Online Distance Learning
documents_partition,title,Joint Manipulation Instruction in the Physical Therapy Curriculum of Select Philippine Higher Education Institutions
documents_partition,title,The Morphological Processes Involved in the Lexicon of Iligan Cityâ€™s Tambal Binisaya
documents_partition,title,Knowledge Sharing as Communication via James W. Careyâ€™s Communication as Culture
documents_partition,title,An Economic Rationalization Framework for Higher Education
documents_partition,title,"A Seasonal Autoregressive Integrated Moving Average (SARIMA) Model to Forecasting Tourist Arrival in the Philippines: A Case Study in Moalboal,"
documents_partition,title,Cebu (Philippines)
documents_partition,title,Religiosity and Spiritual Well-Being of Senior High School Students of a Catholic College in the Philippines
documents_partition,title,Companion: A Social Support Generating Application for Lonely and Socially Isolated Individuals using Lazy Supervised Algorithm
documents_partition,title,Death and Food Offering: The Ilocano â€œAtangâ€ Ritual from a Contextual Theology
documents_partition,title,"Configuration of Research Culture: Investment, Process, and Norm"
documents_partition,title,Wordnet Semantic Relations in a Chatbot
documents_partition,title,Analysis and Forecasting of Fire incidence in Davao City
documents_partition,title,DSS Framework: A Proposal for Disaster Logistic Support System for the Province of Laguna
documents_partition,title,Ratooning Response of Lowland Rice NSIC Rc352 (Oryza sativa L.) to Method of Nitrogen Application
documents_partition,title,Direct and Indirect Factors Affecting Teachersâ€™ Burnout in the New Normal
documents_partition,title,Graduate Education during COVID-19 Pandemic: Inputs to Policy Formulation in the New Normal
documents_partition,title,"Kakugi Ko, Kalambuan Mo (KKK Mo) as an Extension Program for Daycare Workers: An Impact Study"
documents_partition,title,About School of Computer Sciences (SCS)
documents_partition,title,School of Computer Studies (SCS) Undergraduate Degree Programs
documents_partition,title,School of Computer Studies (SCS) Graduate Programs
documents_partition,title,About Bachelor of Science in Computer Science (CS or BSCS)
documents_partition,title,Prospectus of Bachelor of Science in Computer Science (CS or BSCS)
documents_partition,title,About Bachelor of Science in Entertainment and Multimedia Computing (BSEMC or EMC)
documents_partition,title,About Bachelor of Science in Information System (BSIS or IS)
documents_partition,title,Prospectus of Bachelor of Science in Information System (BSIS or IS)
documents_partition,title,About Bachelor of Science in Information Technology (BSIT or IT)
documents_partition,title,Prospectus of Bachelor of Science in Information Technology (BSIT or IT)
documents_partition,title,About Master of Science in Information Technology (MSIT) and Master of Information Technology (MIT)
people_partition,position,VICE PRESIDENT FOR ACADEMICS (VP FOR ACADEMICS)
people_partition,position,VICE PRESIDENT FOR ADMINISTRATION (VP FOR ADMINISTRATION)
people_partition,position,VICE PRESIDENT FOR FINANCE (VP FOR FINANCE)
people_partition,position,VICE PRESIDENT FOR STUDENT WELFARE (VP FOR STUDENT WELFARE)
people_partition,position,VICE PRESIDENT FOR RELIGIOUS AFFAIRS (VP FOR RELIGIOUS AFFAIRS)
people_partition,position,TALAVERA HOUSE OF PRAYER
documents_partition,text,"RMRJ offers open access to its contents on the principle that it supports a greater global exchange of knowledge. Hence,"
documents_partition,text,"it does not charge its readers any subscription fee to access full text of all its articles. Permission to read,"
documents_partition,text,"download, and print from the publisher or author is not necessary. Also, the journal accepts articles for publication at no"
documents_partition,text,cost on the part of the author. RMRJ is licensed under a Creative Commons Attribution-Noncommercial 4.0 International (CC BY-NC 4.0).
documents_partition,text,"Authors grant the publisher an exclusive publication right but retain copyright in their article. In this case, the author/s have"
documents_partition,text,the right to (a) share their article in the same ways permitted to third parties under the relevant user license
documents_partition,text,"so long as it contains the publisherâ€™s logo, and a link to the version of record on Recoletos Multidisciplinary Research"
documents_partition,text,"Journal; (b) retain patent, trademark and other intellectual property rights (including research data); and (c) proper attribution and credit for"
documents_partition,text,the published work.
documents_partition,text,The Recoletos Multidisciplinary Research Journal (RMRJ) is the official bi-annual journal of the University of San Jose-Recoletos (USJ-R) Center for
documents_partition,text,"Policy, Research, and Development Studies (CPRDS). Being an internationally peer-reviewed journal, RMRJ adopts the double-blind review process wherein the reviewer/s"
documents_partition,text,and the author/s do not know each other's identity.
documents_partition,text,RMRJ is made up of internationally renowned scholars in the journal's subject. They offer professional opinions on significant journal policies
documents_partition,text,"and content. The Editorial Team members improve and strengthen the quality, integrity, reputation, and sustainability of our publication through their"
documents_partition,text,field of expertise and substantial work as scientists and researchers. The journal adheres to the COPE Code of Conduct for
documents_partition,text,"Journal Editors to ensure fair and unbiased appraisal, confidentiality, non-competing interest compliance, and editorial duty and accountability for all submitted"
documents_partition,text,articles.
documents_partition,text,The RECOLETOS MULTIDISCIPLINARY RESEARCH JOURNAL (RMRJ) is committed to upholding the highest standards of publication ethics and takes all possible
documents_partition,text,measures against publication malpractices. RMRJ commits herself to objective and fair double-blind peer-review of the submitted for publication works and
documents_partition,text,to prevent any actual or potential conflict of interests between the editorial and review personnel and the reviewed material. Any
documents_partition,text,"departures from the stipulated guidelines should be reported directly to the Editor-in-Chief, who is unequivocally committed to providing swift resolutions"
documents_partition,text,to any such problems.
documents_partition,text,"Authors must strictly adhere to the format and style of the journal to avoid manuscript rejection. Hence, authors are encouraged"
documents_partition,text,to carefully read the instructions for authors before submitting their manuscript.
documents_partition,text,RMRJ is dedicated to the promotion of knowledge through high-quality research publication in various disciplines. It adheres to the policy
documents_partition,text,that all articles contained therein must meet the rigors of an independent double-blind peer-reviewing system and editing to ensure that
documents_partition,text,the publication possesses scientific and academic merit.
documents_partition,text,"RMRJ welcomes submission of quality researches in any of the following academic domains: Accountancy, Business and Management, and Finance; Communication,"
documents_partition,text,"Humanities, Psychology, and Religion; Education and Educational Management; Engineering, Mathematics, Statistics, and Technology; Environment, Health, and Natural Sciences; Philosophical and"
documents_partition,text,"Mathematical Reviews; and Politics and Governance, and Social Sciences."
documents_partition,text,"RMRJ is dedicated to promoting knowledge through high-quality research publications in various disciplines. She is committed to editorial independence, diversity,"
documents_partition,text,and equity. Submissions from people of different backgrounds and geographic locations are welcome. Submissions are assigned to editors who will
documents_partition,text,"do the initial review. Should the manuscript be suitable for consideration by RMRJ, the paper will be sent to at"
documents_partition,text,least two independent peer reviewers. The peer reviewers' assessments are used to inform the associate editor's decision on whether or
documents_partition,text,not to recommend publication. Endorsed papers will be forwarded to the Chief Editor for final approval. We do not put
documents_partition,text,"up with rude behavior or letters directed at our editors, staff, or other people helping us publish. We have the"
documents_partition,text,"right to take appropriate measures to safeguard others from it. This situation may involve, for instance, withdrawing a manuscript from"
documents_partition,text,consideration or objecting to offensive remarks made by peers.
documents_partition,text,"RMRJ is dedicated to promoting knowledge through high-quality research publications in various disciplines. She is committed to editorial independence, diversity,"
documents_partition,text,and equity. Submissions from people of different backgrounds and geographic locations are welcome. Submissions are assigned to editors who will
documents_partition,text,"do the initial review. Should the manuscript be suitable for consideration by RMRJ, the paper will be sent to at"
documents_partition,text,least two independent peer reviewers. The peer reviewers' assessments are used to inform the associate editor's decision on whether or
documents_partition,text,not to recommend publication. Endorsed papers will be forwarded to the Chief Editor for final approval. We do not put
documents_partition,text,"up with rude behavior or letters directed at our editors, staff, or other people helping us publish. We have the"
documents_partition,text,"right to take appropriate measures to safeguard others from it. This situation may involve, for instance, withdrawing a manuscript from"
documents_partition,text,consideration or objecting to offensive remarks made by peers.
documents_partition,text,"Peer review (also known as refereeing) is the process of subjecting an author's scholarly work, research, or ideas to the"
documents_partition,text,scrutiny of others who are experts in the same field. It requires a community of experts in a given (and
documents_partition,text,"often narrowly defined) field who are qualified and able to perform impartial reviews. Likewise, it also refers to the work"
documents_partition,text,done while screening submitted manuscripts and funding applications. This normative process encourages authors to meet the accepted standards of their
documents_partition,text,"discipline. It prevents disseminating unwarranted claims, unacceptable interpretations, and personal views. Peer review increases the probability that weaknesses will be"
documents_partition,text,"identified and fixed. For both grant funding and publication in a scholarly journal, it is also usually required that the"
documents_partition,text,subject be both novel and substantial. Reviewers and editors are responsible for providing a constructive and prompt evaluation of submitted
documents_partition,text,research papers based on the significance of their contribution and the rigors of analysis and presentation. There are two or
documents_partition,text,"three referees for a given article. Two are experts on the topic, and one is an expert in research and"
documents_partition,text,statistics who shall review the technical components of the research. These referees revert the evaluation of the work that indicates
documents_partition,text,the observed weaknesses or problems along with suggestions for improvement. The board then evaluates the referees' comments and notes the
documents_partition,text,opinion of the manuscript before passing the decision with the referees' comments back to the author(s).
documents_partition,text,"Peer review (also known as refereeing) is the process of subjecting an author's scholarly work, research, or ideas to the"
documents_partition,text,scrutiny of others who are experts in the same field. It requires a community of experts in a given (and
documents_partition,text,"often narrowly defined) field who are qualified and able to perform impartial reviews. Likewise, it also refers to the work"
documents_partition,text,done while screening submitted manuscripts and funding applications. This normative process encourages authors to meet the accepted standards of their
documents_partition,text,"discipline. It prevents disseminating unwarranted claims, unacceptable interpretations, and personal views. Peer review increases the probability that weaknesses will be"
documents_partition,text,"identified and fixed. For both grant funding and publication in a scholarly journal, it is also usually required that the"
documents_partition,text,subject be both novel and substantial. Reviewers and editors are responsible for providing a constructive and prompt evaluation of submitted
documents_partition,text,research papers based on the significance of their contribution and the rigors of analysis and presentation. There are two or
documents_partition,text,"three referees for a given article. Two are experts on the topic, and one is an expert in research and"
documents_partition,text,statistics who shall review the technical components of the research. These referees revert the evaluation of the work that indicates
documents_partition,text,the observed weaknesses or problems along with suggestions for improvement. The board then evaluates the referees' comments and notes the
documents_partition,text,opinion of the manuscript before passing the decision with the referees' comments back to the author(s).
documents_partition,text,"A manuscript is accepted when it is endorsed for publication by at least two referees, it substantially complies with the"
documents_partition,text,instructions of the reviewers; it complies with the ethical standards and protocols with studies involving humans and animals; the manuscript
documents_partition,text,passed the plagiarism detection test with a score of at most 10% Similarity Index and a Grammarly Rating of 95%
documents_partition,text,"or more. Otherwise, the manuscript is returned to the author(s). The referees' evaluations include an explicit recommendation of what to"
documents_partition,text,"do with the manuscript, chosen from options provided by the journal. Most recommendations are along the following lines: Accept without"
documents_partition,text,revisions Accept with minor revisions Accept with major revisions Reject with the option to resubmit Reject In situations where the
documents_partition,text,"referees disagree substantially about the quality of work, there are several strategies for reaching a decision. When the editor receives"
documents_partition,text,"positive and negative reviews for the same manuscript, the board will solicit one or more additional reviews as a tie-breaker."
documents_partition,text,"In the case of ties, the board may invite authors to reply to a referee's criticisms and permit a compelling"
documents_partition,text,rebuttal to break the tie. Suppose the editor does not feel confident in weighing the persuasiveness of a rebuttal. In
documents_partition,text,"that case, the board may solicit a response from the referee who made the original criticism. In rare instances, the"
documents_partition,text,"board will convey communications between an author and a referee, thereby allowing them to debate on a point. Even in"
documents_partition,text,"such a case, however, the board does not allow referees to confer with each other, and the goal of the"
documents_partition,text,process is explicitly not to reach a consensus or to convince anyone to change his/ her opinions.
documents_partition,text,"A manuscript is accepted when it is endorsed for publication by at least two referees, it substantially complies with the"
documents_partition,text,instructions of the reviewers; it complies with the ethical standards and protocols with studies involving humans and animals; the manuscript
documents_partition,text,passed the plagiarism detection test with a score of at most 10% Similarity Index and a Grammarly Rating of 95%
documents_partition,text,"or more. Otherwise, the manuscript is returned to the author(s). The referees' evaluations include an explicit recommendation of what to"
documents_partition,text,"do with the manuscript, chosen from options provided by the journal. Most recommendations are along the following lines: Accept without"
documents_partition,text,revisions Accept with minor revisions Accept with major revisions Reject with the option to resubmit Reject In situations where the
documents_partition,text,"referees disagree substantially about the quality of work, there are several strategies for reaching a decision. When the editor receives"
documents_partition,text,"positive and negative reviews for the same manuscript, the board will solicit one or more additional reviews as a tie-breaker."
documents_partition,text,"In the case of ties, the board may invite authors to reply to a referee's criticisms and permit a compelling"
documents_partition,text,rebuttal to break the tie. Suppose the editor does not feel confident in weighing the persuasiveness of a rebuttal. In
documents_partition,text,"that case, the board may solicit a response from the referee who made the original criticism. In rare instances, the"
documents_partition,text,"board will convey communications between an author and a referee, thereby allowing them to debate on a point. Even in"
documents_partition,text,"such a case, however, the board does not allow referees to confer with each other, and the goal of the"
documents_partition,text,process is explicitly not to reach a consensus or to convince anyone to change his/ her opinions.
documents_partition,text,RMRJ welcomes the submission of comments on previous articles. Comments on articles previously published in the journal will generally be
documents_partition,text,"reviewed by two reviewers, usually an author of the original article (to assist the editor in evaluating whether the submitted"
documents_partition,text,comment represents the previous article's accuracy) and an independent reviewer. The original author will be invited to reply if a
documents_partition,text,"comment is accepted for publication. All other editorial requirements, as enumerated above, apply to proposed comments."
documents_partition,text,RMRJ welcomes the submission of comments on previous articles. Comments on articles previously published in the journal will generally be
documents_partition,text,"reviewed by two reviewers, usually an author of the original article (to assist the editor in evaluating whether the submitted"
documents_partition,text,comment represents the previous article's accuracy) and an independent reviewer. The original author will be invited to reply if a
documents_partition,text,"comment is accepted for publication. All other editorial requirements, as enumerated above, apply to proposed comments."
documents_partition,text,"RMRJ makes it a point of adhering to COPE's Principles of Transparency and Best Practice in Scholarly Publishing, and we"
documents_partition,text,encourage our publishing partners to do the same.
documents_partition,text,"RMRJ makes it a point of adhering to COPE's Principles of Transparency and Best Practice in Scholarly Publishing, and we"
documents_partition,text,encourage our publishing partners to do the same.
documents_partition,text,The names and email addresses entered in this journal site will be used exclusively for the stated purposes of this
documents_partition,text,journal and will not be made available for any other purpose or to any other party.
documents_partition,text,The names and email addresses entered in this journal site will be used exclusively for the stated purposes of this
documents_partition,text,journal and will not be made available for any other purpose or to any other party.
documents_partition,text,The names and email addresses entered in this journal site will be used exclusively for the stated purposes of this
documents_partition,text,journal and will not be made available for any other purpose or to any other party.
documents_partition,text,The names and email addresses entered in this journal site will be used exclusively for the stated purposes of this
documents_partition,text,journal and will not be made available for any other purpose or to any other party.
documents_partition,text,"Jessica Magallon- Avenido, Ph.D., University of San Jose-Recoletos, Philippines"
documents_partition,text,"Dr. Agnes C. Sequino, University of San Jose-Recoletos, Philippines Dr. Ravindra C. Joshi, CABI-SEA, Malaysia Dr. Erwin Faller, San Pedro"
documents_partition,text,"College, Philippines Enrique G. Oracion, Ph.D., Silliman University, Philippines Dr. Jay P. Picardal, Cebu Normal University, Philippines Dr. Roger Lincoln"
documents_partition,text,"Radix, St. George University, University Center Grenada, United States Dr. Gaurang Dattubhai Rami, Veer Narmad South Gujarat University, India Dr."
documents_partition,text,"Brian A. Vasquez, Majmaah University, Kingdom of Saudi Arabia Dr. Diane Bandow, Troy University, United States of America Dr. Glenn"
documents_partition,text,"G. Pajares, University of San Jose-Recoletos, Philippines Dr. William J. Heisler, Troy University, United States of America Dr. Lanndon A."
documents_partition,text,"Ocampo, Cebu Technological University, Philippines Dr. Rene M. Odendaal, University of South Africa, South Africa Dr. Robert Halliman, Austin Peay"
documents_partition,text,"State University, United States of America Dr. Mohammed Seghir Halimi, University of Kasdi Merbah Ouargla, Algeria Dr. Djuwari Djuwari, Universitas"
documents_partition,text,"Nahdlatul Ulama Surabaya (UNUSA), Indonesia Assist. Prof. Dr. Faruk Kokoglu, Mugla University, Turkey Dr. Nathaniel A. Adebayo, The Polytechnic, Ibadan,"
documents_partition,text,"Nigeria Dr. Anthony M. Penaso, Caraga State University, Philippines Dr. Slawomir Jablonski, Institute of Psychology, Adam Mickiewicz University, Poznan, Poland"
documents_partition,text,"Roberto B. Corcino, Ph.D., Cebu Normal University, Philippines Jovito C. Anito Jr., Jose Rizal Memorial State University, Philippines Imee C."
documents_partition,text,"Acosta, Ph.D., Virginia Commonwealth University Qatar, Doha, Qatar Bonjovi H. Hajan, JosÃ© Rizal University, Philippines Roy Francis Navea, Ph.D., De"
documents_partition,text,"La Salle University, Philippines Jony V. Berjes, DM, The University of Suwon, South Korea"
documents_partition,text,"Mr. Jesse Sagayno Susada, University of San Jose-Recoletos, Philippines Mrs Milagros B. Baclayon, University of San Jose-Recoletos, Philippines Miss Chanine"
documents_partition,text,"F. Sevilla, University of San Jose-Recoletos, Philippines Mrs. Ingrid S. Ramos, University of San Jose-Recoletos, Philippines"
documents_partition,text,"RMRJ picks its reviewers through its editorial office. When a manuscript arrives, an editor solicits reviews from scholars or other"
documents_partition,text,experts to referee the manuscript. The identities of the referees selected by the Editorial Board are kept unknown to research
documents_partition,text,"authors. However, the reviewer's identity can be disclosed under some particular circumstances. Disclosure of Peer Review can be granted under"
documents_partition,text,the following grounds: as evidence to prove that the published paper underwent peer review as required by the University for
documents_partition,text,"ranking and financial incentives, for regulatory bodies such as the Commission on Higher Education, Accreditation of Academic Programs. Requests for"
documents_partition,text,peer review results shall be made in writing.
documents_partition,text,All authors submitting their works to the RMRJ for publication as original articles attest that the submitted works represent their
